Length	Height	Width	Species	Weight	
46.15 8.1 5.11 3 722.7
26.6 8.73 4.29 2 316.8
24.48 8.09 4.45 1 258.7
25.89 8.77 4.63 1 290.3
47.95 9.82 6.46 3 1062.4
16.93 5.11 2.75 1 66.4
30.77 10.44 5.52 2 528.6
23.23 6.89 4.35 1 202.5
29.7 9.96 5.47 1 505.4
36.56 12.39 6.41 2 966.5
43.65 8.25 5.44 3 624.4
28.99 10.71 6.18 2 555
43.08 8.09 5.03 3 686.9
31.73 10.88 5.87 2 644
51.9 8.53 5.05 3 917.4
33.6 12.01 6.77 2 843.6
31.53 10.53 5.79 2 613.4
51.83 8.63 5.65 3 967.5
22.15 7.5 4.28 1 180.6
31.12 11.43 6.59 2 670.9
17.15 5.24 2.96 1 76.3
26.29 8.16 4.64 1 274.8
19.53 6.71 3.45 1 121.1
24.68 8.05 4.45 1 267.5
28.81 10.18 5.74 2 556.9
23.47 7.22 4.13 1 176.3
24.68 8.66 4.43 2 303.2
18.82 3.04 1.71 3 40.7
36.07 11.86 5.93 2 951.3
56.28 8.82 5.78 3 1507.8
27.26 8.32 4.6 1 320.4
28.97 10.48 5.93 2 551
21.56 7.62 4.13 1 180.2
46.12 9.03 6.31 3 1056.6
19.19 7.28 4.3 2 137
41.56 7.22 4.02 3 483.6
28.87 9.96 4.96 2 552.1
35.97 11.83 5.92 2 934.7
31.9 11.38 6.58 2 710.6
30.45 10.33 5.21 2 533
25.6 9.43 5.22 2 415.3
37.93 6.64 4.68 3 517.7
36.74 12.53 6.84 2 999.4
55.75 10.2 7.17 3 1240.6
25.37 8.05 4.58 1 235.6
31.14 11.06 6.22 2 604.6
38.2 6.22 4.47 3 383.7
28.61 9.28 5.07 1 391.2
40.99 14.02 7.81 2 1469.2
22.66 7.08 4.04 1 169.2
37.24 12.29 6.11 2 1097.7
27.63 8.61 4.97 1 293.9
33.36 10.78 5.61 2 658.6
31.16 11.29 6.44 2 741.5
53.87 10.12 6.73 3 1596.9
32.75 11.48 6.67 2 712.9
65.94 11.31 8.02 3 2363.5
27.12 10.36 6.27 2 441.6
23.15 7.23 4.24 1 207.7
41.25 14.18 7.74 2 1468.3
43.97 8.21 5.56 3 766.8
42.73 8.2 5.25 3 690.8
21.85 6.67 3.82 1 158.4
23.19 7.15 4.48 1 232.6
17.99 5.14 2.75 1 71.2
20.76 7.8 4.16 2 184.2
62.61 10.68 7.06 3 2448.3
27.51 9.4 5.33 1 399
29.91 9.32 4.37 2 485.9
52.19 9.17 6.28 3 1073.1
24.41 8.26 3.84 2 262.9
54.51 9.42 6.07 3 1216.3
23.49 7.39 4.33 1 242.6
22.18 6.59 4.16 1 174.5
57.67 10.48 7.12 3 1748.9
22.33 6.54 3.47 1 136.3
19.2 6.8 3.53 1 105.2
21.06 6.72 4.11 1 152.5
20.25 5.74 3.55 1 109.4
62.45 11.53 7.67 3 1632.1
26.38 10.48 6.17 2 453.9
19.8 6.44 3.76 1 157.5
48.92 8.26 5.38 3 1139
28.13 10.21 5.62 2 502.9
23.3 7.71 3.39 2 195.5
63.01 11.72 7.48 3 2211.7
23.56 7.88 4.38 1 256.2
48.56 8.92 5.88 3 1213.3
20.21 7.08 3.92 1 145.6
54.78 9.28 6.15 3 1305.3
27.11 8.39 4.88 1 298.2
18.76 4.37 2.67 3 69.9
23.13 8.29 4.33 1 235.3
35.09 11.68 6.05 2 893.5
32.09 10.81 5.87 2 645.6
43.4 8.02 5.68 3 615.1
29.33 10.11 5.47 2 504.9
44.78 7.21 4.75 3 794.9
24.69 8.98 5.05 2 353.2
21.77 7.03 4.19 1 201.7
21.81 6.78 3.83 1 159.5
17.92 5.31 3.05 1 103
18.45 6.19 3.11 1 100.2
41.83 8.48 4.89 3 588.7
38.63 7.78 5.24 3 546.2
28.42 10.28 5.87 2 559
24.48 8.91 4.81 2 302.5
46.09 7.61 5.04 3 926.4
33.33 12.23 7.13 2 816.5
49.19 8.7 6.15 3 698.2
24.12 8.17 4.45 1 277.4
21.43 8.17 5.03 2 245.2
26.51 8.38 4.65 1 304.1
26.77 8.61 4.47 1 265.7
22.68 9.43 6.32 2 300
45.18 8.47 5.76 3 789.7
16.34 5.62 2.96 1 63.6
23.5 7.04 3.92 1 167
35.18 7.15 4.71 3 462.3
33.18 11.98 7.11 2 697.9
21.98 8.16 4.47 2 228.2
47.15 6.88 4.53 3 902.4
